wl;refl
418.75916;-0.19883
418.954568;-0.049908
419.149976;-0.14332
419.345383;0.045669
419.540791;-0.049057
419.736199;-0.51195
419.931607;-0.12109
420.127015;0.036952
420.322423;0.3486
420.517831;0.20378
420.713239;-0.16598
420.908647;-0.047511
421.104055;-0.12371
421.299463;0.025682
421.494871;-0.10145
421.690278;0.10649
421.885686;-0.1046
422.081094;0.070492
422.276502;-0.25063
422.47191;0.27753
422.667318;-0.11263
422.862726;-0.027586
423.058134;0.13152
423.253542;-0.044444
423.44895;-0.080071
423.644358;-0.028791
423.839766;-0.024233
424.035173;-0.10148
424.230581;0.20292
424.425989;0.058027
424.621397;0.057143
424.816805;-0.33254
425.012213;0.04878
425.207621;-0.1675
425.403029;-0.1152
425.598437;-0.13602
425.793845;-0.18067
425.989253;0.31986
426.18466;-0.17423
426.380068;-0.080808
426.575476;0.016245
426.770884;0.17805
426.966292;0.091562
427.1617;0.2153
427.357108;0.10116
427.552516;-0.046332
427.747924;-0.055258
427.943332;0.23039
428.13874;-0.15615
428.334148;-0.037634
428.529555;-0.11618
428.724963;-0.4799
428.920371;-0.031365
429.115779;-0.045852
429.311187;-0.24219
429.506595;-0.11059
429.702003;0.095745
429.897411;0.17172
430.092819;-0.22059
430.288227;-0.031802
430.483635;-0.22761
430.679043;-0.48052
430.87445;-0.023622
431.069858;0.020243
431.265266;0.11091
431.460674;-0.17763
431.656082;0.21252
431.85149;0.074581
432.046898;0.11765
432.242306;0.0020747
432.437714;0.033333
432.633122;-0.19843
432.82853;-0.49034
433.023937;-0.16245
433.219345;-0.05336
433.414753;-0.048117
433.610161;0.14723
433.805569;0.25097
434.000977;-0.17689
434.196385;-0.39906
434.391793;-0.13579
434.587201;-0.081395
434.782609;-0.10065
434.978017;-0.045833
435.173425;-0.035533
435.368832;-0.12741
435.56424;-0.21336
435.759648;-0.32564
435.955056;0.12262
436.150464;-0.089368
436.345872;-0.14085
436.54128;-0.031301
436.736688;0.044693
436.932096;0.12909
437.127504;-0.54444
437.322912;0.14005
437.518319;0.082192
437.713727;76
437.909135;0.23178
438.104543;-0.27477
438.299951;0.045307
438.495359;-0.24368
438.690767;-0.26766
438.886175;-0.058304
439.081583;0.033445
439.276991;-0.052224
439.472399;0.14161
439.667807;0.14103
439.863214;0.072848
440.058622;0.032143
